,model,year,distance,fuel,auto,efficiency,max_power,max_toque,method,insurance,is_genesis,price
0,현대 더 뉴 그랜저 하이브리드 2.4 HEV 르블랑,1.0,37983.0,1.0,1.0,16.2,200.0,25.1,0.0,4.0,0.0,3700.0
2,현대 더 뉴 그랜저 하이브리드 2.4 HEV  익스클루시브,3.0,43818.0,1.0,1.0,16.2,159.0,21.0,0.0,2.0,0.0,3469.0
3,현대 그랜저IG 2.4  프리미엄,5.0,61406.0,1.0,1.0,11.2,190.0,24.6,0.0,0.0,0.0,1940.0
4,현대 그랜저IG 하이브리드 2.4 HEV 익스클루시브,4.0,56098.0,1.0,1.0,16.2,199.0,26.7,0.0,0.0,0.0,2800.0
5,현대 그랜저IG 2.4  모던,5.0,47882.0,1.0,1.0,11.2,190.0,24.6,0.0,0.0,0.0,2099.0
6,현대 그랜저IG 하이브리드 2.4 HEV  익스클루시브 스페셜,4.0,65000.0,1.0,1.0,16.2,199.0,26.7,0.0,2.0,0.0,2870.0
7,현대 더 뉴 그랜저 2.5  프리미엄 초이스,2.0,50000.0,1.0,1.0,11.9,198.0,25.3,0.0,1.0,0.0,2810.0
8,현대 더 뉴 그랜저 2.5  프리미엄,3.0,48250.0,1.0,1.0,11.9,198.0,25.3,0.0,0.0,0.0,2650.0
9,현대 그랜저IG 하이브리드 2.4 HEV 익스클루시브 스페셜,3.0,19273.0,1.0,1.0,16.2,199.0,26.7,0.0,2.0,0.0,2200.0
11,현대 더 뉴 그랜저 2.5 르블랑,9.0,2596.0,1.0,1.0,11.9,198.0,25.3,0.0,0.0,0.0,2650.0
12,현대 더 뉴 그랜저 3.0 LPi   프리미엄,1.0,21062.0,0.0,1.0,7.5,235.0,28.6,0.0,0.0,0.0,3090.0
13,현대 그랜저IG 2.4  프리미엄 스페셜,6.0,54045.0,1.0,1.0,11.0,190.0,24.6,0.0,3.0,0.0,2399.0
14,현대 그랜저HG 240 모던,7.0,75941.0,1.0,1.0,11.3,190.0,25.5,0.0,2.0,0.0,1380.0
15,현대 그랜저HG 240 모던,9.0,91418.0,1.0,1.0,11.3,201.0,25.5,0.0,5.0,0.0,999.0
16,현대 그랜저IG 3.0 LPi   모던,4.0,87475.0,0.0,1.0,7.6,235.0,28.6,0.0,0.0,0.0,1850.0
17,현대 그랜저HG 하이브리드 2.4 HEV 프리미엄,8.0,69283.0,1.0,1.0,16.0,199.0,26.7,0.0,1.0,0.0,1470.0
18,현대 그랜저HG  240 모던   ,8.0,131524.0,1.0,1.0,11.3,190.0,25.5,0.0,5.0,0.0,1250.0
20,현대 더 뉴 그랜저 하이브리드 2.4 HEV 르블랑,1.0,37983.0,1.0,1.0,16.2,200.0,25.1,0.0,4.0,0.0,3700.0
22,현대 더 뉴 그랜저 하이브리드 2.4 HEV  익스클루시브,3.0,43818.0,1.0,1.0,16.2,159.0,21.0,0.0,2.0,0.0,3469.0
23,현대 그랜저IG 2.4  프리미엄,5.0,61406.0,1.0,1.0,11.2,190.0,24.6,0.0,0.0,0.0,1940.0
24,현대 그랜저IG 하이브리드 2.4 HEV 익스클루시브,4.0,56098.0,1.0,1.0,16.2,199.0,26.7,0.0,0.0,0.0,2800.0
25,현대 그랜저IG 2.4  모던,5.0,47882.0,1.0,1.0,11.2,190.0,24.6,0.0,0.0,0.0,2099.0
26,현대 그랜저IG 하이브리드 2.4 HEV  익스클루시브 스페셜,4.0,65000.0,1.0,1.0,16.2,199.0,26.7,0.0,2.0,0.0,2870.0
27,현대 더 뉴 그랜저 2.5  프리미엄 초이스,2.0,50000.0,1.0,1.0,11.9,198.0,25.3,0.0,1.0,0.0,2810.0
28,현대 더 뉴 그랜저 2.5  프리미엄,3.0,48250.0,1.0,1.0,11.9,198.0,25.3,0.0,0.0,0.0,2650.0
29,현대 그랜저IG 하이브리드 2.4 HEV 익스클루시브 스페셜,3.0,19273.0,1.0,1.0,16.2,199.0,26.7,0.0,2.0,0.0,2200.0
31,현대 더 뉴 그랜저 2.5 르블랑,9.0,2596.0,1.0,1.0,11.9,198.0,25.3,0.0,0.0,0.0,2650.0
32,현대 더 뉴 그랜저 3.0 LPi   프리미엄,1.0,21062.0,0.0,1.0,7.5,235.0,28.6,0.0,0.0,0.0,3090.0
33,현대 그랜저IG 2.4  프리미엄 스페셜,6.0,54045.0,1.0,1.0,11.0,190.0,24.6,0.0,3.0,0.0,2399.0
34,현대 그랜저HG 240 모던,7.0,75941.0,1.0,1.0,11.3,190.0,25.5,0.0,2.0,0.0,1380.0
35,현대 그랜저HG 240 모던,9.0,91418.0,1.0,1.0,11.3,201.0,25.5,0.0,5.0,0.0,999.0
36,현대 그랜저IG 3.0 LPi   모던,4.0,87475.0,0.0,1.0,7.6,235.0,28.6,0.0,0.0,0.0,1850.0
37,현대 그랜저HG 하이브리드 2.4 HEV 프리미엄,8.0,69283.0,1.0,1.0,16.0,199.0,26.7,0.0,1.0,0.0,1470.0
38,현대 그랜저HG  240 모던   ,8.0,131524.0,1.0,1.0,11.3,190.0,25.5,0.0,5.0,0.0,1250.0
40,현대 더 럭셔리 그랜저 Q270 LPi ,13.0,162000.0,0.0,1.0,7.6,165.0,25.0,0.0,1.0,0.0,280.0
41,현대 그랜저IG  3.0 LPi  모던 베이직   ,5.0,92771.0,0.0,1.0,7.6,235.0,28.6,0.0,0.0,0.0,1750.0
43,현대 그랜저IG 2.4  프리미엄 스페셜,6.0,201600.0,1.0,1.0,11.0,190.0,24.6,0.0,7.0,0.0,1160.0
45,현대 그랜저HG 300 LPi 이그제큐티브,11.0,113751.0,0.0,1.0,8.9,235.0,28.6,0.0,6.0,0.0,900.0
46,현대 더 뉴 그랜저  3.0 LPi  익스클루시브   ,2.0,95455.0,0.0,1.0,7.4,235.0,28.6,0.0,0.0,0.0,2869.0
47,현대 그랜저IG  2.4 프리미엄  ,3.0,98869.0,1.0,1.0,11.2,190.0,24.6,0.0,0.0,0.0,1999.0
48,현대 그랜저HG 300 LPi  프리미엄,9.0,225600.0,0.0,1.0,8.9,235.0,28.6,0.0,7.0,0.0,670.0
49,현대 더 뉴 그랜저 2.5  프리미엄 초이스,2.0,23167.0,1.0,1.0,11.9,198.0,25.3,0.0,0.0,0.0,3090.0
50,현대 더 뉴 그랜저 2.5  프리미엄,2.0,72335.0,1.0,1.0,11.9,198.0,25.3,0.0,0.0,0.0,2590.0
